1,Descripción del Curso,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/0,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/1,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/2,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/3,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/4,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/5,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/6,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/7,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/8,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/9
74,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
75,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
76,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
77,CS3401 - SEMINARIO DE ESTUDIOS FILOSOFICOS HISTORICOS,,,1,,,,,,,
77,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,1,,,,,,,,,
77,SE1105 - ARTES MUSICALES,,1,,,,,,,,
77,TI4200 - ECONOMIA,1,,,,,,,,,
77,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
77,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
78,MA3405 - ESTADISTICA,,,,1,,,,,,
78,SE1201 - ATLETISMO,1,,,,,,,,,
78,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
78,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
78,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
79,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,,,1,,,,,,
80,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
80,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
81,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
82,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
83,MA3405 - ESTADISTICA,,1,,,,,,,,
83,TI4200 - ECONOMIA,1,,,,,,,,,
83,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
83,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
83,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
83,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
84,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
85,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
86,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,1,,,,,,,,
86,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
86,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
87,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
88,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
89,TI5501 - DISEÑO DE SOFTWARE,,,1,,,,,,,
90,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
90,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
91,MA2404 - PROBABILIDADES,,1,,,,,,,,
91,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
91,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
91,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
92,CI3400 - INGLES 1  (ATI),1,,,,,,,,,
92,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,1,,,,,,,,,
92,TI4200 - ECONOMIA,1,,,,,,,,,
92,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
93,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,,,1,,,,,,
93,TI4101 - PLANIFICACION Y PRESUPUESTO,1,,,,,,,,,
93,TI5501 - DISEÑO DE SOFTWARE,,,,,1,,,,,
93,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
93,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
93,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
94,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
94,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
